X,CH1,
Second,Volt,
3.29133e-02,2.72e+00,
3.29153e-02,-7.99e-02,
3.29173e-02,-7.99e-02,
3.29193e-02,2.76e+00,
3.29213e-02,-7.99e-02,
3.29233e-02,2.76e+00,
3.29253e-02,2.76e+00,
3.29273e-02,-7.99e-02,
3.29293e-02,-7.99e-02,
3.29313e-02,2.76e+00,
3.29333e-02,-7.99e-02,
3.29353e-02,4.00e-02,
3.29373e-02,-7.99e-02,
3.29393e-02,2.76e+00,
3.29413e-02,-7.99e-02,
3.29433e-02,2.76e+00,
3.29453e-02,-7.99e-02,
3.29473e-02,4.00e-02,
3.29493e-02,-7.99e-02,
3.29513e-02,2.76e+00,
3.29533e-02,-7.99e-02,
3.29553e-02,2.76e+00,
3.29573e-02,-7.99e-02,
3.29593e-02,4.00e-02,
3.29613e-02,-7.99e-02,
3.29633e-02,2.76e+00,
3.29653e-02,-7.99e-02,
3.29673e-02,2.76e+00,
3.29693e-02,2.76e+00,
3.29713e-02,-7.99e-02,
3.29733e-02,-7.99e-02,
3.29753e-02,2.80e+00,
3.29773e-02,-7.99e-02,
3.29793e-02,4.00e-02,
3.29813e-02,2.76e+00,
3.29833e-02,-7.99e-02,
3.29853e-02,-7.99e-02,
3.29873e-02,2.76e+00,
3.29893e-02,-7.99e-02,
3.29913e-02,4.00e-02,
3.29933e-02,-7.99e-02,
3.29953e-02,2.76e+00,
3.29973e-02,-7.99e-02,
3.29993e-02,2.76e+00,
3.30013e-02,-7.99e-02,
3.30033e-02,4.00e-02,
3.30053e-02,-7.99e-02,
3.30073e-02,2.76e+00,
3.30093e-02,-7.99e-02,
3.30113e-02,2.76e+00,
3.30133e-02,2.76e+00,
3.30153e-02,-7.99e-02,
3.30173e-02,-7.99e-02,
3.30193e-02,2.76e+00,
3.30213e-02,-7.99e-02,
3.30233e-02,2.76e+00,
3.30253e-02,2.76e+00,
3.30273e-02,-7.99e-02,
3.30293e-02,-7.99e-02,
3.30313e-02,2.76e+00,
3.30333e-02,-7.99e-02,
3.30353e-02,4.00e-02,
3.30373e-02,-7.99e-02,
3.30393e-02,2.76e+00,
3.30413e-02,-7.99e-02,
